Display Name,Volume_OCID,Size (in GB),Lifecycle State,Instance Name
DREK-APP-3-128,ocid1.volume.oc1.iad.abuwcljtk62tb5ajahzwr52z5avy3ngykw4kv76g3ak6lue3w2lzxksqpy5q,150,AVAILABLE,
DRTA-V4DB-2.154,ocid1.volume.oc1.iad.abuwcljtpj5z5ljtw3lbo6aevz6g7lrn7zgdxioe6dddsbbxliu7mjrjtenq,299,AVAILABLE,
 DRVH-OLIVE-DB-4-190-BACKUP,ocid1.volume.oc1.iad.abuwcljt55hqwjuhb4znwddww52d4ftyzlfknuovbzg7nv7kwofjayzmngia,150,AVAILABLE,
DRTB-REDIS.4.25,ocid1.volume.oc1.iad.abuwcljtvgleoi7y2smyyxlfjelqex4fpb6gwcurdq6bab7oga6l7yebqnnq,150,AVAILABLE,
DRTB-ES.4.24,ocid1.volume.oc1.iad.abuwcljtevelfrdzdy25qul4yegoth4c6ah5iee6onxx7ncerxmmrd2kc7ua,75,AVAILABLE,
DRTB-K8-MASTER.3.64,ocid1.volume.oc1.iad.abuwcljt6wpuuagxfiv5zrqekqux4ewxsgb45xyhflwkcrmcmkwhfyrvve2q,150,AVAILABLE,
DRTB-K8-SLAVE.3.65,ocid1.volume.oc1.iad.abuwcljtbnt7k22wywidvthaoqwzbkbdm6hgqw272qqgkkrd456dpb5mjs5a,150,AVAILABLE,
DRTB-GITLAB-RUNNER.4.22,ocid1.volume.oc1.iad.abuwcljt4zlghu7jwg6hojxci45jdpuquwsnb2e3qbejb3veqfk2gc4zen7q,150,AVAILABLE,
DRVH-OLIVE-DB-4-190-DATA,ocid1.volume.oc1.iad.abuwcljthlata6uchjt7urtrxgfsdd6i2uny4hd43d2bzxbkd67saq3dclsq,1024,AVAILABLE,
DRKU-APP-1.147,ocid1.volume.oc1.iad.abuwcljtxf4vbgrrxsbt4o5xvawd6oajk5kdq2uk2actxnj3l3t2txmecbaq,100,AVAILABLE,
DRKU-B2BB2C-4.60,ocid1.volume.oc1.iad.abuwcljtmpmfyfufunp5tfgtg6h5fm7edp25mlr2htraer3fxgulpdzlqvoa,100,AVAILABLE,
DRKU-ESQA-4.61,ocid1.volume.oc1.iad.abuwcljt2tashcqgp5yx6pok34ypidoqk4tutbnaqkx2ekvaxcs6lmzshnuq,100,AVAILABLE,
DRVH-OLIVE-DB-4-190-OPT-old,ocid1.volume.oc1.iad.abuwcljtfzj4pvvv4wq3l5lzbqhbe2vayw62usfdnkuuxeweebeks4ic57ra,100,AVAILABLE,
