Compartment Name,Compartment OCID
RMS,ocid1.compartment.oc1..aaaaaaaaik4tic64vbtcgr57bpkuluq6rujgizwm2j6ob3boz6m2valryfqa
RND,ocid1.compartment.oc1..aaaaaaaae6sj2lf6guyf3jb63un67czuifkf5qxmwobvegirhhvwguw2ct3a
sec_automation_test,ocid1.compartment.oc1..aaaaaaaaml42pwrthbmb4wwjqowbykhdnmi2r7z7xdqbc7jsfjxgwfjhcgba
TB_REPLICA,ocid1.compartment.oc1..aaaaaaaaujenzaaf4zewmgfjv6gl4suixrkvz57fxvyqbsdzifj7nd2wpr7a
terraform_modules_dev,ocid1.compartment.oc1..aaaaaaaa33ku2ojicj5e4gvlsxdo4jou3zpdettx4shhbqtnyz765jaon7ga
TRAVELBOOKER,ocid1.compartment.oc1..aaaaaaaa3tg5bqtrwsbjqmqgb5wpqgigqiuuyhn3cocpwlkzip4hkwlzr6zq
TRAVELBOOKER_DEV_PATCH,ocid1.compartment.oc1..aaaaaaaa7acmimmwmpk525xmhswwaycwtlqgofhr4odfztdwv7awzrrjpezq
TRITIUM,ocid1.compartment.oc1..aaaaaaaapbzuze5e5vfrip6yhxoobe3447zjhmtvfbn6p7xdaj6rjffjjffa
TRITIUM_STG,ocid1.compartment.oc1..aaaaaaaazmnetkr35ljqy4o3k35dlvyowcmak3siy3s4q66wxikbmvajqrmq
TRITIUM_STG,ocid1.compartment.oc1..aaaaaaaagyzotw3nq5d4aqcyjxwg2orxx6lwzmnjp5au2awofdivlyvlfavq
TSA,ocid1.compartment.oc1..aaaaaaaagxap6vivhlseuxsbztzn6fh63ccs4776dstrcqesacgisqljoc6a
VEGA,ocid1.compartment.oc1..aaaaaaaa7svcri4gwmr2ei2uomhrfwr2e555un7d5rg3wbx3rd2ggzvhmohq
VeloPass,ocid1.compartment.oc1..aaaaaaaavnxfxjvv4oi7xu3zxhghaqyjenphnm4uwq7kpt3tqmdcj46ifqgq
VIRGIN,ocid1.compartment.oc1..aaaaaaaa6fgzwmw6jzqegbczbzza6ska4rhvrdm5nf2uv3vj5536gb5erfvq
